Tweet,Subjectivity,Polarity
"next digit 195  resistors 199 218 250 301 352 max 384  supports 193 187 179 max 167  As long as the shares remain above 199, the upper channel is 238 and 361.  The main expectation in the shares is to have valuable land on Kanalistanbul and to increase the capital. ;;",0.16666666666666666,0.02333333333333333
kanalistanbul ;;,0.0,0.0
"Kanalistanbul, but Nehiri?stanbul, necessary from keban to istanbul, why not the crazy river project, when the late Kaddafi brought the underground waters in the desert by distributing water to the cities on the route from a distance of 1500 km.  ekremimamoglu  ibb ;;",0.8333333333333334,-0.3
"I think they are rehearsing the historical island of Istanbul with the Kanal Istanbul project because when the Kanalistanbul project is finished, the dollar and euro rich, that is, foreigners, will live in this region. ;;",0.4166666666666667,0.17045454545454544
really great change in istanbul i wish everywhere was green bait interesting animation istanbul canalistanbul ;;,0.5166666666666667,0.3666666666666667
"Why is it now my expectation for Kanalistanbul shares? You know in everyone's language for 23 months, but I say goodbye to my target prices of pgsus thyao tuprs they say buy now in those 23 months.  to find this in my job anyway ;;",0.0,0.0
"my new current portfolio is 181220  ekgyo 221 akbnk 647 afyon452 main group  aksgy 383 vkgyo379 side group  I divided it into 2, I have different expectations from all of them. Let's see if we can extract a pgsus from them. ;;",0.4469696969696969,0.07575757575757575
"I have been expressing Kanalistanbul for about 23 months, I have recently increased my emphasis, it has already been seen that it will be beneficial to have companies that will benefit from the portfolios, the news flows will increase considerably, so I become a buyer when I see fit. ;;",0.3666666666666667,0.16666666666666666
"Kanalistanbul is a huge project, gyo cement, service and electricity, serious business benefits will come from here. ;;",0.7833333333333333,0.03333333333333338
"a board fibo support worth following is 152 as long as the direction is broken up 174, it will want to head against the 236 resistance, although not much in Kanalistanbul news, let's take note in the center of yyapı actually bist gyo shares is not investment advice win ;;",0.22500000000000003,0.05625000000000001
"It is very wrong to destroy the sazlıdere dam, on the contrary, it is necessary to consider ways to conserve water canalistanbul ;;",0.6666666666666666,-0.2833333333333334
"The water level of the northern forests lakes and dams dropped to 20, some completely dried up, the water was drawn hundreds of meters  The rantkanalı sazlıdere will completely destroy the dam and abandoned lake  Together we must give a louder voice to stay hydrated  yakanalyai?stanbul  yakanalyasu ;;",0.3,-0.2
Kanal Istanbul is interested in its lands Kanalistanbul Beratalbayrakwhere ;;,0.5,0.25
"I wish you to be ekgyo  Because there is a chat with Kanalistanbul  Like it broke the dollar-based falling trend  whatever we say, everything is coming to happen ytd  let's see what's beautiful ;;",1.0,0.85
back in the beforetimes i also wrote for ;;,0.0,0.0
Kanalistanbulhayir come  pottery  relationship  the financing of Kanalistanbul  They will do it by operating the Gallipoli gold mines  Gelibolu gold mines should be operated by the state and the income should be prepared for the big Istanbul earthquake ;;,0.1,0.0
"Kanalistanbul shares stay alive, keep in mind that while the news flow expectations continue, they can be positively affected like normal ekgyo ihlgm akcns oyakc ;;",0.5318181818181817,0.1590909090909091
I protest those who try to divide a city by trying to do what the geography has not done Kanalistanbul is murder  nihatsirdar ;;,0.0,0.0
"Thank you, captain, what is your long term expectation?  Do you think it is a reasonable expectation ekgyo? ;;",0.5,0.07500000000000001
"canalistanbul  So it's not crazy, it was a stolen prize  Dear  dbdevletbahceli  Will you support the project that you said stolen and the profit gate?  We should be able to talk about these issues, let's ask, answer the great Turkish nation. ;;",0.7583333333333333,0.5333333333333333
"idgyo  canalistanbul  circulating  ceiling  idealist real estate  channel istanbul story, the number of lots in circulation is only 7 million and the cheapest one would walk, the only possible share that will be the ceiling series will be getting on the train without getting on the train. ;;",0.825,0.05
"Istanbul, one of the most beautiful cities in the world, is dying in front of our eyes, and we do nothing to take precautions for this, even we are doing a project that will destroy the illogical environment like Kanalistanbul just for the sake of getting votes in the election. ;;",0.5,0.38333333333333336
"i?stanbul forkcada a wonderful bird species from the migration period, yakanalyaistanbul Kanalistanbul, we do not want to lose these beauties ;;",1.0,1.0
